title,authors,published_year,average_rating,num_pages,number_of_copies,ISBN-13
Charms for the Easy Life,Kaye Gibbons,2005,4.02,272,6,9780120760257
The Reading Group,Elizabeth Noble,2005,3.34,429,17,9780120760443
A Couple of April Fools,Gregory Maguire,2005,3.5,240,14,9780120760826
What Christians Believe,C. S. Lewis,2005,4.2,98,1,9780120761539
Psyche in a Dress,Francesca Lia Block,2006,3.84,116,10,9780120763728
YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz,2005,3.82,417,10,9780120765313
The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,2005,4.26,766,11,9780120765453
A Quick Bite,Lynsay Sands,2005,3.91,360,7,9780120773758
Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,2005,4.27,32,9,9780120775858
Brave New World and Brave New World Revisited,Aldous Huxley,2005,4.16,340,10,9780120776099
