title,authors,published_year,average_rating,num_pages,number_of_copies,ISBN-13
The Final Solution,Michael Chabon,2005,3.31,131,12,9780120777109
The Cat's Pajamas,Ray Bradbury,2005,3.73,234,13,9780120777338
Holy Skirts,Rene Steinke,2005,3.61,384,2,9780120778016
Time For Kids: Butterflies!,Editors of TIME For Kids,2006,4,32,5,9780120782137
A False Mirror,Charles Todd,2007,4.02,384,16,9780120786736
