title,authors,published_year,average_rating,num_pages,number_of_copies,ISBN-13
An Autobiography,Agatha Christie,1977,4.27,560,5,9780016353282
Empires of the Monsoon,Richard Hall,1998,4.41,608,14,9780016380832
Master of the Game,Sidney Sheldon,1982,4.11,489,5,9780016472613
If Tomorrow Comes,Sidney Sheldon,1994,4.04,501,13,9780016479677
Assassin's Apprentice,Robin Hobb,1996,4.15,460,11,9780016480098
Warhost of Vastmark,Janny Wurts,1995,4.03,522,20,9780016482074
The Once and Future King,Terence Hanbury White,1996,4.04,823,20,9780016483011
Murder in LaMut,Raymond E. Feist;Joel Rosenberg,2003,3.7,337,13,9780016483895
Jimmy the Hand,Raymond E. Feist;S. M. Stirling,2003,3.95,368,12,9780016483909
Well of Darkness,Margaret Weis;Tracy Hickman,2001,3.66,599,2,9780016486142
The Little House,Philippa Gregory,1998,3.66,368,16,9780016496431
Mystical Paths,Susan Howatch,1996,4.23,576,19,9780016496873
The Mad Ship,Robin Hobb,2000,4.24,906,1,9780016498868
Post Captain,Patrick O'Brian,1996,4.29,474,4,9780016499163
The Reverse of the Medal,Patrick O'Brian,1997,4.41,261,10,9780016499260
Miss Marple,Agatha Christie,1997,4.2,359,10,9780016499627
The Years of Rice and Salt,Kim Stanley Robinson,2003,3.73,772,8,9780016511481
Spares,Michael Marshall Smith,1998,4.13,317,10,9780016512674
Gravity,Tess Gerritsen,2004,4.04,342,5,9780016513085
The Wise Woman,Philippa Gregory,2002,3.31,640,12,9780016514642
Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,2000,3.26,586,17,9780016514855
The White Album,Joan Didion,1993,4.17,224,7,9780016545866
The Bonesetter's Daughter,Amy Tan,2001,3.98,352,1,9780016550436
The Lexus and the Olive Tree,Thomas L. Friedman,2000,3.59,352,19,9780016551394
'Tis,Frank McCourt,2000,3.68,495,15,9780016551815
A Small Pinch of Weather,Joan Aiken,2000,4.27,239,11,9780016754899
Koko,Peter Straub,2001,3.56,634,14,9780017103670
Tree and Leaf,John Ronald Reuel Tolkien,2001,4.09,176,5,9780017105045
Partners in Crime,Agatha Christie,2001,3.77,347,7,9780017111509
Murder in Mesopotamia,Agatha Christie,2001,3.89,264,5,9780017113803
All Families are Psychotic,Douglas Coupland,2002,3.69,279,17,9780017117531
